 time            v(out)          i(Lboost)       v(anode)       
 1.18600244e-06  4.48550757e+02  1.84269625e+01  4.49359224e+02 
 1.19100244e-06  4.48746750e+02  1.84196631e+01  4.49555199e+02 
 1.19600244e-06  4.48942665e+02  1.84123581e+01  4.49751096e+02 
 1.20100244e-06  4.49138502e+02  1.84050478e+01  4.49946916e+02 
 1.20600244e-06  4.49334262e+02  1.83977320e+01  4.50142658e+02 
 1.21100244e-06  4.49529943e+02  1.83904108e+01  4.50338322e+02 
 1.21600244e-06  4.49725547e+02  1.83830841e+01  4.50533908e+02 
 1.22100244e-06  4.49921072e+02  1.83757520e+01  4.50729416e+02 
 1.22600244e-06  4.50116520e+02  1.83684145e+01  4.50924846e+02 
 1.23100244e-06  4.50311890e+02  1.83610715e+01  4.51120198e+02 
 1.23600244e-06  4.50507181e+02  1.83537231e+01  4.51315472e+02 
 1.24100244e-06  4.50702394e+02  1.83463693e+01  4.51510667e+02 
 1.24600244e-06  4.50897529e+02  1.83390101e+01  4.51705784e+02 
 1.25100244e-06  4.51092586e+02  1.83316455e+01  4.51900823e+02 
 1.25600244e-06  4.51287564e+02  1.83242754e+01  4.52095784e+02 
 1.26100244e-06  4.51482464e+02  1.83169000e+01  4.52290666e+02 
 1.26600244e-06  4.51677286e+02  1.83095191e+01  4.52485469e+02 
 1.27100244e-06  4.51872028e+02  1.83021328e+01  4.52680194e+02 
 1.27600244e-06  4.52066693e+02  1.82947411e+01  4.52874841e+02 
 1.28100244e-06  4.52261278e+02  1.82873440e+01  4.53069408e+02 
 1.28600244e-06  4.52455785e+02  1.82799414e+01  4.53263897e+02 
 1.29100244e-06  4.52650213e+02  1.82725335e+01  4.53458308e+02 
 1.29600244e-06  4.52844562e+02  1.82651202e+01  4.53652639e+02 
 1.30100244e-06  4.53038833e+02  1.82577015e+01  4.53846891e+02 
 1.30600244e-06  4.53233024e+02  1.82502774e+01  4.54041065e+02 
 1.31100244e-06  4.53427136e+02  1.82428479e+01  4.54235159e+02 
 1.31600244e-06  4.53621170e+02  1.82354130e+01  4.54429174e+02 
 1.32100244e-06  4.53815124e+02  1.82279727e+01  4.54623111e+02 
 1.32600244e-06  4.54008999e+02  1.82205271e+01  4.54816968e+02 
 1.33100244e-06  4.54202794e+02  1.82130760e+01  4.55010745e+02 
 1.33600244e-06  4.54396511e+02  1.82056196e+01  4.55204444e+02 
 1.34100244e-06  4.54590148e+02  1.81981578e+01  4.55398063e+02 
 1.34600244e-06  4.54783706e+02  1.81906906e+01  4.55591602e+02 
 1.35100244e-06  4.54977184e+02  1.81832181e+01  4.55785062e+02 
 1.35600244e-06  4.55170583e+02  1.81757401e+01  4.55978443e+02 
 1.36100244e-06  4.55363902e+02  1.81682568e+01  4.56171744e+02 
 1.36600244e-06  4.55557141e+02  1.81607682e+01  4.56364965e+02 
 1.37100244e-06  4.55750301e+02  1.81532741e+01  4.56558107e+02 
 1.37600244e-06  4.55943381e+02  1.81457747e+01  4.56751169e+02 
 1.38100244e-06  4.56136381e+02  1.81382700e+01  4.56944151e+02 
 1.38600244e-06  4.56329302e+02  1.81307598e+01  4.57137053e+02 
